분류,메뉴코드,바코드번호,관리메뉴명,메뉴명_한국어,메뉴명_영어,메뉴명_일본어,메뉴명_중국어,메뉴설명_한국어,메뉴설명_영어,메뉴설명_일본어,메뉴설명_중국어,판매가격,포장가격,아이콘표시,판매시작시간,판매종료시간,판매갯수제한,판매여부,성인인증여부,과세여부,표시시작일자,표시종료일자,판매불가요일,연동코드,매입처,야간가격
상품,B0000003,8801104123181 ,비비빅,비비빅,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000004,8801104123174 ,메로나,메로나,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000005,8801019508356 ,누가바,누가바,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000006,8801019508431 ,쌍쌍바,쌍쌍바,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000007,8801019508363 ,바밤바,바밤바,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000008,8801104123297 ,생귤탱귤,생귤탱귤,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000009,8801019508783 ,호두마루,호두마루,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000010,8801019509155 ,녹차마루,녹차마루,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000011,8801104123198 ,쿠앤크바,쿠앤크바,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000012,8801104123310 ,캔디바,캔디바,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000013,8801104123204 ,요맘때 딸기,요맘때 딸기,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000014,8801118251573 ,와삭바,와삭바,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000015,8801104123167 ,까페오레,까페오레,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000016,8801062417056 ,죠스바,죠스바,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000017,8801062417452 ,와일드바디,와일드바디,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000018,8801062417414 ,옥동자,옥동자,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000019,8801062417339 ,순수밀크,순수밀크,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000020,8801062417438 ,메가톤바,메가톤바,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000021,8801062416950 ,빙빙바,빙빙바,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000022,8801062417018 ,스크류바,스크류바,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000023,8801118249846 ,돼지바,돼지바,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
상품,B0000024,8801118252013 ,빠삐코바,빠삐코바,,,,,,,,500,,없음,0,0,0,Y,N,Y,20190101,99991231,1111111,,,
