분류,메뉴코드,바코드번호,관리메뉴명(한국어),메뉴명(한국어),기존가, 인상후 ,인상가격
상품,B0001045,8809422171181 ,바스락빙빙,바스락빙빙,300,300, - 
상품,B0001072,8809402811519 ,달곰팡스타,달곰팡스타,300,300, - 
상품,B0000137,8801062412020 ,옥동자딸기,옥동자딸기,400,500,100
상품,B0000157,8801118253300 ,아이스츄,아이스츄,400,500,100
상품,B0000204,8801062412426 ,심쿵코코바,심쿵코코바,400,500,100
상품,B0000206,8801118253898 ,와삭와삭빙수바,와삭와삭빙수바,400,500,100
상품,B0000222,8801019513015 ,폭신폭신솜사탕,폭신폭신솜사탕,400,500,100
상품,B0000270,8801118255069 ,리치샤베트,리치샤베트,400,500,100
상품,B0000386,8801062893133 ,구미구미바딸기맛,구미구미바딸기맛,400,500,100
상품,B0000003,8801104123181 ,비비빅,비비빅,400,500,100
상품,B0000004,8801104123174 ,메로나,메로나,400,500,100
상품,B0000005,8801019508356 ,누가바,누가바,400,500,100
상품,B0000006,8801019508431 ,쌍쌍바,쌍쌍바,400,500,100
상품,B0000007,8801019508363 ,바밤바,바밤바,400,500,100
상품,B0000008,8801104123297 ,생귤탱귤,생귤탱귤,400,500,100
상품,B0000009,8801019508783 ,호두마루,호두마루,400,500,100
상품,B0000010,8801019509155 ,녹차마루,녹차마루,400,500,100
상품,B0000011,8801104123198 ,쿠앤크바,쿠앤크바,400,500,100
상품,B0000012,8801104123310 ,캔디바,캔디바,400,500,100
상품,B0000013,8801104123204 ,요맘때 딸기,요맘때 딸기,400,500,100
상품,B0000014,8801118251573 ,와삭바,와삭바,400,500,100
상품,B0000015,8801104123167 ,까페오레,까페오레,400,500,100
상품,B0000016,8801062417056 ,죠스바,죠스바,400,500,100
상품,B0000017,8801062417452 ,와일드바디,와일드바디,400,500,100
상품,B0000018,8801062417414 ,옥동자,옥동자,400,500,100
상품,B0000019,8801062417339 ,순수밀크,순수밀크,400,500,100
상품,B0000020,8801062417438 ,메가톤바,메가톤바,400,500,100
상품,B0000021,8801062416950 ,빙빙바,빙빙바,400,500,100
상품,B0000022,8801062417018 ,스크류바,스크류바,400,500,100
상품,B0000023,8801118249846 ,돼지바,돼지바,400,500,100
상품,B0000024,8801118252013 ,빠삐코바,빠삐코바,400,500,100
상품,B0000025,8801118249921 ,보석바,보석바,400,500,100
상품,B0000026,8801062417599 ,앙꼬바,앙꼬바,400,500,100
상품,B0000027,8801118250910 ,초코퍼지,초코퍼지,400,500,100
상품,B0000028,8801118252945 ,마카롱아이스바,마카롱아이스바,400,500,100
