메뉴별 매출현황,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
메뉴코드,바코드번호,메뉴명,분류명,거래건수,매출금액,할인금액,판매건수,실매출,부가세,순매출,객단가,판매수량,판매옵션수량,구성비(%)
B0000267,8801104306928 ,떡붕어싸만코,상품,380,749000,0,380,749000,68152,680848,1000,749,0,2.09%
B0000703,,마카롱,이용안내,212,746000,0,212,746000,67857,678143,2000,373,0,2.08%
B0000142,8801104163057 ,엑셀런트,상품,73,738500,0,73,738500,67129,671371,5956,124,0,2.06%
B0000047,8801062422517 ,월드콘,상품,271,510400,0,271,510400,46408,463992,800,638,0,1.43%
B0000004,8801104123174 ,메로나,상품,545,494400,0,545,494400,44929,449471,400,1236,0,1.38%
B0000491,8809713220024 ,누가바,상품,466,461600,0,466,461600,41951,419649,400,1154,0,1.29%
B0000057,8801118251306 ,빵빠레 바닐라,상품,331,464000,0,327,460800,41905,418895,800,576,0,1.29%
B0000437,8801104142373 ,투게더,상품,81,450000,0,81,450000,40908,409092,5488,82,0,1.26%
B0000202,8801062435197 ,찰떡아이스,상품,283,439000,0,283,439000,39925,399075,889,494,0,1.23%
B0000003,8801104123181 ,비비빅,상품,431,435200,0,431,435200,39540,395660,400,1088,0,1.22%
B0000056,8801118251313 ,빵빠레초코,상품,345,421600,0,345,421600,38355,383245,800,527,0,1.18%
B0000271,8801104307048 ,부드러운빵또와,상품,241,369000,0,241,369000,33577,335423,1000,369,0,1.03%
B0000093,8801118250996 ,빠삐코 초코,상품,364,367000,0,364,367000,33312,333688,500,734,0,1.03%
B0000451,8801062623488 ,더블비얀코,상품,264,361000,0,264,361000,32828,328172,843,428,0,1.01%
B0000088,8801062417254 ,셀렉션,상품,61,352000,0,61,352000,32004,319996,5500,64,0,0.98%
B0000039,8801062435692 ,본가찰옥수수,상품,221,341000,0,221,341000,31015,309985,909,375,0,0.95%
B0000062,8801062002504 ,롯데일품팥빙수,상품,120,336000,0,120,336000,30540,305460,1500,224,0,0.94%
B0000122,8801062453672 ,티코,상품,56,330000,0,56,330000,30001,299999,5500,60,0,0.92%
B0000018,8801062417414 ,옥동자,상품,413,286400,0,413,286400,26006,260394,400,716,0,0.80%
B0000052,8801118251221 ,구구콘,상품,225,276000,0,225,276000,25096,250904,800,345,0,0.77%
B0000017,8801062417452 ,와일드바디,상품,387,275600,0,387,275600,25025,250575,400,689,0,0.77%
B0000045,8801062422531 ,와쿠와크,상품,201,270800,0,201,270800,24632,246168,921,294,0,0.76%
B0000114,8801062435951 ,와,상품,160,269000,0,160,269000,24478,244522,888,303,0,0.75%
B0000023,8801118249846 ,돼지바,상품,375,268400,0,375,268400,24394,244006,400,671,0,0.75%
B0000022,8801062417018 ,스크류바,상품,330,266400,0,330,266400,24199,242201,400,666,0,0.74%
B0000533,8809713220017 ,부라보콘 바닐라,상품,199,265600,0,199,265600,24156,241444,800,332,0,0.74%
B0000528,8801062884711 ,위즐 칙촉,상품,57,265500,0,57,265500,24135,241365,4500,59,0,0.74%
B0000335,8809713220116 ,팽이팽이,상품,39,260500,0,39,260500,23681,236819,5316,49,0,0.73%
B0000434,8801104301169 ,엔쵸초코,상품,270,252600,0,270,252600,23035,229565,600,421,0,0.71%
B0000113,8801062475780 ,미니멜츠 구슬 초코바닐라,상품,102,248000,0,102,248000,22560,225440,2000,124,0,0.69%
B0000016,8801062417056 ,죠스바,상품,344,238800,0,344,238800,21693,217107,400,597,0,0.67%
B0000473,8801104666404 ,붕어싸만코 초코,상품,183,238000,0,183,238000,21654,216346,1000,238,0,0.67%
