시간대별현황,,,,,,,,,
,,,,,,,,,
시간대,거래건수,매출금액,할인금액,판매건수,실매출,부가세,순매출,주문단가,구성비(%)
00 ~ 01,516.0,2168600.0,11300.0,516.0,2157300.0,196123.0,1961177.0,4181.0,3.08%
01 ~ 02,277.0,1044800.0,2300.0,277.0,1042500.0,94766.0,947734.0,3764.0,1.49%
02 ~ 03,185.0,612800.0,2100.0,185.0,610700.0,55517.0,555183.0,3301.0,0.87%
03 ~ 04,129.0,393400.0,1400.0,129.0,392000.0,35633.0,356367.0,3039.0,0.56%
04 ~ 05,92.0,360000.0,2700.0,92.0,357300.0,32481.0,324819.0,3884.0,0.51%
05 ~ 06,106.0,245600.0,1700.0,106.0,243900.0,22174.0,221726.0,2301.0,0.35%
06 ~ 07,57.0,258400.0,9000.0,57.0,249400.0,22671.0,226729.0,4375.0,0.36%
07 ~ 08,105.0,301000.0,2600.0,105.0,298400.0,27124.0,271276.0,2842.0,0.43%
08 ~ 09,66.0,278400.0,5000.0,66.0,273400.0,24853.0,248547.0,4142.0,0.39%
09 ~ 10,133.0,692800.0,10700.0,133.0,682100.0,62007.0,620093.0,5129.0,0.97%
10 ~ 11,233.0,1126700.0,5400.0,233.0,1121300.0,101935.0,1019365.0,4812.0,1.60%
11 ~ 12,331.0,1767300.0,1700.0,331.0,1765600.0,160498.0,1605102.0,5334.0,2.52%
12 ~ 13,593.0,2683000.0,12900.0,587.0,2551100.0,231916.0,2319184.0,4346.0,3.64%
13 ~ 14,622.0,3246600.0,13900.0,618.0,3222700.0,292958.0,2929742.0,5215.0,4.60%
14 ~ 15,733.0,3242700.0,17600.0,731.0,3223100.0,293005.0,2930095.0,4409.0,4.60%
15 ~ 16,992.0,4038500.0,13900.0,988.0,4022200.0,365624.0,3656576.0,4071.0,5.74%
16 ~ 17,1114.0,4649700.0,28700.0,1110.0,4486000.0,407800.0,4078200.0,4041.0,6.40%
17 ~ 18,1100.0,4615600.0,20500.0,1100.0,4595100.0,417746.0,4177354.0,4177.0,6.56%
18 ~ 19,1147.0,5445900.0,14500.0,1146.0,5431400.0,493745.0,4937655.0,4739.0,7.75%
19 ~ 20,1236.0,6361300.0,38000.0,1236.0,6323300.0,574819.0,5748481.0,5116.0,9.03%
20 ~ 21,1453.0,7940900.0,54500.0,1453.0,7886400.0,716911.0,7169489.0,5428.0,11.26%
21 ~ 22,1551.0,8327700.0,48300.0,1545.0,8274600.0,752238.0,7522362.0,5356.0,11.81%
22 ~ 23,1390.0,6844700.0,20200.0,1382.0,6816500.0,619654.0,6196846.0,4932.0,9.73%
23 ~ 24,857.0,4041600.0,18000.0,856.0,4015400.0,365021.0,3650379.0,4691.0,5.73%
